gene,rna_log2fc,prot_log2fc,residual
MAP2K4,0.29355714438849,-0.4023370442200598,-0.3943017229575893
RPL21,0.96621974671642,-0.30399102039279313,-0.3928823676133902
PRKAB2,1.10771840199234,-0.28298792275815643,-0.39226838214771387
LIN7C,0.299712469311088,-0.39932963509490094,-0.3921812594365319
PPIC,-0.339110193819988,0.2927183021439461,0.39191721290637604
PERM1,-0.474083221183124,-0.5105140680410862,-0.39186634916578184
ALYREF,0.784675808687907,0.454375566944794,0.39164361826293387
PYGM,0.0277120233365283,-0.43783615830626843,-0.3914941408979603
DPP3,0.285548238234279,-0.399944310639345,-0.39075495377413
PTER,-0.516452753754067,-0.5150323804791039,-0.3902794646996252
SLC27A4,0.36413746051824,0.3923340562006743,0.3901991749288239
TPI1,0.289504340566635,-0.39859573257380987,-0.38997642645606667
TNKS1BP1,0.65578798698582,-0.34568275247857727,-0.38984273488434495
UGGT1,-0.203327335769781,0.3101541830401402,0.3897875939184251
PISD,0.990482794001545,-0.29601707856727977,-0.3884045861697019
DNM3,-1.24840996919689,0.15798781431942466,0.38821139863241094
NOL3,0.13435822421251,-0.41892214683056395,-0.38794721081121875
PPM1B,-0.0485804627234231,-0.44522645214794565,-0.3878911425921473
PSMB5,0.581877180890671,-0.3533609320631754,-0.3868708081973768
RPS15,1.06431563367829,-0.2834847435368566,-0.386511122915032
ZSCAN20,-0.210808484755448,0.30503790719820856,0.38574930701938503
SEC62,0.14944788435876,0.35492164895788925,0.3837222549617764
PAPLN,-0.588844976295079,-0.5183642954710042,-0.3831800922515789
EIF1,-0.161561832482893,-0.45563771649986506,-0.3820224655090287
PHOSPHO1,0.83484040759911,-0.3115399476376215,-0.38150031578479005
MMRN2,-0.0160275453270895,-0.43389618425778487,-0.3812515559167762
GBE1,0.431573106492013,-0.3692685843269885,-0.3811205399220148
DDT,0.218441255534161,-0.39988426157625767,-0.38102518880508496
SAMHD1,-0.374199800611869,0.27613919055544933,0.38039430434291344
EHD4,1.39449866687196,-0.22928357901460927,-0.3798873638949482
RPS29,0.492820620297892,-0.3581816719251485,-0.3788590289109012
LARP1,0.845888547104214,0.45028751494913166,0.3787351758027432
SYNPO,0.990958989982527,-0.2848892024329359,-0.37734532703565193
MDP1,-0.033982963915416,-0.43254383997361856,-0.37731194292023834
GAPDH,0.804860707208683,-0.3114892967014242,-0.377129768854809
PGM3,0.883093414320998,-0.3001332289304717,-0.37704656751134297
ADRM1,0.801007791097267,-0.3102267017068403,-0.3753119916316726
PACS1,-0.620657891353323,0.23507903743688985,0.37484729194838795
NUTF2,0.12524032129301,-0.4070629243490558,-0.37477415290838545
ADK,-0.40097897480916,-0.4813298527072192,-0.37321601965888296
RBX1,-0.140113334931096,-0.44351043909798804,-0.372985788661528
HDHD2,-0.79922020166204,-0.5382864388866082,-0.372788420605032
RARS2,-0.267951536270255,0.28378754408948836,0.37273291676885323
MAP4,0.315436571108721,-0.37630447989078064,-0.3714218535053141
CSRP2,0.319580150103935,0.3670434287774196,0.3713289901466171
PPIL1,-0.487306513821438,-0.4915889945710159,-0.371035878105043
GNAS,1.80839040872628,-0.15961347631510137,-0.3698565922832054
GART,0.221245344396904,-0.38826085344709327,-0.3698058331543184
WDR1,1.09134682778043,-0.2625382767266764,-0.36945968993068395
