gene,rna_log2fc,prot_log2fc,residual,studentized_residual,mean_sham,mean_ir
NUDT12,-1.53578195717355,0.17631842986903656,0.44795060344138926,1.1847702591107694,15.440669995885306,15.616988425754343
LYPLA2,1.00978838421873,-0.3512295596471162,-0.4463988876396941,-1.1806661754945917,16.27529186566089,15.924062306013774
PPP2R2A,1.29214912674161,-0.3085524901536161,-0.44440831682834553,-1.175401378265117,17.649120876654585,17.34056838650097
GPD1,0.781065415632913,-0.3818317031537326,-0.4440434157327918,-1.1744362629997114,18.067317371044336,17.685485667890603
EIF4H,0.781556870173157,-0.38158534675298483,-0.4438678749997085,-1.1739719809154328,17.937367845218777,17.555782498465792
GOT1,0.160828573091905,-0.4703142589586733,-0.4431535423140711,-1.172082665186082,22.937599374237788,22.467285115279115
CAPZA1,0.507813205151111,0.46453039246920724,0.4416926934386567,1.1682189126041016,16.848898286093362,17.31342867856257
IMPA2,-0.295326624805349,-0.5338641907780897,-0.44097423113647516,-1.1663186745837095,15.927912854217,15.39404866343891
SLC12A4,1.74959305224094,-0.23918048734864428,-0.44095125498043186,-1.1662579056816482,14.650055295744883,14.410874808396239
MRPL32,-0.227640753911773,0.35685940545151595,0.43999623485163236,1.1637320034130472,15.817174740777133,16.17403414622865
MEMO1,0.178035651553644,-0.4640531834924815,-0.43937190421194733,-1.1620807312235073,17.01491974609991,16.55086656260743
TOM1,0.535794092271169,-0.41105303579063346,-0.43792261374586644,-1.1582475491096,17.431483157409716,17.020430121619082
ADPRH,0.44169782655045,-0.42450254428129597,-0.43781341164158427,-1.1579587239480937,15.451705725448255,15.027203181166959
OSBPL8,-1.27296639534113,0.20397251778561198,0.4377345366239821,1.1577501099305572,17.89411591581008,18.09808843359569
PGAM2,0.272686384921716,-0.4482670156470867,-0.43722434244201536,-1.1564007136164953,21.65385003774614,21.205583022099052
CSPG4,1.57503751743652,-0.2596196206619119,-0.4362379769728984,-1.1537919070573666,18.606969527173845,18.347349906511933
PON2,0.0136748939892358,0.3873782863857631,0.4357429703998708,1.152482679965625,14.339117499329488,14.726495785715251
TLN1,1.0233269302141,0.5313106482503329,0.4341904965388585,1.1483765913825454,18.46515871971093,18.996469367961264
DCTN3,0.242860369138591,0.4180485385138901,0.43338896267758,1.1462566400459084,14.349792794013775,14.767841332527665
